"Date","Price","Open","High","Low","Vol.","Change.."
2017-11-02,54.35,53,54.85,50.25,"2.40M","2.55%"
2017-11-01,53,55.41,55.6,52.82,"1.01M","-4.35%"
2017-10-31,55.41,56.4,56.81,55.4,"727.50K","-1.76%"
2017-10-30,56.4,56.59,58.39,55.85,"802.96K","-0.34%"
2017-10-29,56.59,54.52,58,54.26,"816.40K","3.80%"
2017-10-28,54.52,55.24,55.88,54.01,"389.55K","-1.30%"
2017-10-27,55.24,55.56,56.15,54.75,"540.07K","-0.58%"
2017-10-26,55.56,56.36,57.16,54.89,"646.60K","-1.42%"
2017-10-25,56.36,55.61,56.92,53.55,"1.11M","1.35%"
2017-10-24,55.61,54.76,59.19,52.5,"2.13M","1.55%"
2017-10-23,54.76,56.75,56.75,52.45,"1.85M","-3.51%"
2017-10-22,56.75,58.14,58.89,56.12,"819.38K","-2.39%"
2017-10-21,58.14,60.12,60.38,56.2,"1.27M","-3.29%"
2017-10-20,60.12,59.84,62.2,58.52,"1.44M","0.47%"
2017-10-19,59.84,60.67,61.42,58.34,"1.58M","-1.37%"
2017-10-18,60.67,59.19,61.85,52.9,"3.47M","2.50%"
2017-10-17,59.19,64.72,64.99,58.51,"1.73M","-8.54%"
2017-10-16,64.72,65.51,66.4,62.33,"1.50M","-1.21%"
2017-10-15,65.51,63.94,69.59,62.06,"3.24M","2.46%"
2017-10-14,63.94,58.9,66.85,58.3,"3.01M","8.56%"
2017-10-13,58.9,59.58,60.96,55.25,"3.60M","-1.14%"
2017-10-12,59.58,50.81,59.58,50.66,"3.77M","17.26%"
2017-10-11,50.81,50.4,51,50.22,"422.85K","0.81%"
2017-10-10,50.4,50.04,51.48,49.59,"832.85K","0.72%"
2017-10-09,50.04,53.27,53.41,48.15,"1.90M","-6.06%"
2017-10-08,53.27,52.57,54.79,52.4,"871.06K","1.33%"
2017-10-07,52.57,52.12,52.85,51.6,"464.54K","0.86%"
2017-10-06,52.12,51.67,52.73,51.4,"631.64K","0.87%"
2017-10-05,51.67,51.16,51.94,50.25,"697.71K","1.00%"
